player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dante Fowler Jr.,9436,ED,FLORIDA,12,2,0,163,81.9,11,31,312,84.6,15.4,48,4,9.6,9,384,325,51,0,90.1,6,20,121,90.0,28.9,35,18.2,9,140,126,35
Leonard Williams,9439,DI,USC,13,3,0,326,65.7,11,31,498,100.0,7.6,38,5,5.8,8,527,527,50,0,62.1,4,18,170,100.0,11.2,19,8.8,4,177,177,26
Vic Beasley Jr.,9441,ED,CLEMSON,13,2,1,140,88.4,3,26,301,97.5,14.3,43,4,8.5,11,323,315,40,1,83.4,0,10,97,98.1,20.6,20,10.3,5,103,101,15
Trae Waynes,9444,CB,MICH STATE,13,0,0,223,52.8,0,1,15,3.2,0.0,0,4,10.0,1,468,15,2,0,50.4,0,0,3,1.9,0.0,0,0.0,0,157,3,0
Danny Shelton,9445,DI,WASHINGTON,14,0,0,340,67.3,11,26,514,99.4,6.8,35,2,5.5,10,540,537,47,0,73.0,7,10,122,100.0,14.8,18,11.9,6,126,126,23
Kevin Johnson,9449,CB,WAKE,12,0,0,339,61.8,0,2,6,1.7,16.7,1,4,16.7,0,361,6,2,0,,0,0,0,0.0,,0,,0,101,0,0
Arik Armstead,9450,DI,OREGON,13,0,0,264,61.2,3,20,338,98.6,7.4,25,1,4.3,3,351,346,26,0,61.4,1,6,78,100.0,11.5,9,7.1,2,81,81,9
Marcus Peters,9451,CB,WASHINGTON,8,0,0,340,72.9,1,0,7,2.1,14.3,1,4,7.1,0,339,7,1,0,,0,0,0,0.0,,0,,0,79,0,0
Bud Dupree,9455,ED,KENTUCKY,12,1,0,202,80.1,8,19,299,80.4,11.4,34,3,7.2,8,388,312,35,0,79.7,4,15,125,89.5,19.2,24,10.8,4,152,136,23
Shane Ray,9456,ED,MISSOURI,14,1,0,229,90.8,10,20,399,98.4,12.3,49,10,8.0,17,429,422,47,0,90.8,4,14,135,99.3,22.2,30,14.1,10,149,148,28
Shaq Thompson,9458,LB,WASHINGTON,13,1,0,340,74.5,2,3,21,4.9,9.5,2,1,16.7,1,426,21,6,1,72.0,0,1,9,8.8,11.1,1,16.7,1,102,9,2
Damarious Randall,9463,S,ARIZONA ST,13,1,1,110,90.2,2,2,15,3.1,26.7,4,2,20.0,1,523,16,5,0,87.1,2,0,10,4.3,30.0,3,20.0,1,231,10,3
Stephone Anthony,9464,LB,CLEMSON,13,0,1,140,71.4,5,12,51,13.3,17.6,9,2,22.5,3,413,55,20,0,70.4,4,4,27,21.1,22.2,6,18.5,1,142,30,9
Malcom Brown,9465,DI,TEXAS,13,1,1,311,69.9,7,19,386,99.3,7.3,28,1,5.2,7,404,401,33,0,79.5,6,10,140,100.0,13.6,19,9.3,5,149,149,21
Landon Collins,9466,S,ALABAMA,14,0,0,103,66.3,2,5,33,6.1,12.1,4,0,10.6,0,537,33,7,0,66.0,2,1,15,7.2,13.3,2,10.0,0,209,15,3
Mario Edwards Jr.,9468,ED,FLORIDA ST,13,4,0,167,67.6,10,19,368,98.0,6.8,25,1,4.5,2,392,384,31,2,75.9,3,13,133,99.3,12.0,16,7.5,2,140,139,18
Preston Smith,9471,ED,MISS STATE,13,2,0,227,82.6,8,24,308,91.6,12.3,38,2,8.4,10,346,317,42,0,86.4,4,11,113,95.9,22.1,25,13.7,8,123,118,23
Eddie Goldman,9472,DI,FLORIDA ST,12,0,1,167,61.0,5,17,353,98.4,6.2,22,4,4.0,3,374,368,25,0,62.2,5,10,129,97.8,10.9,14,6.6,1,137,134,16
Benardrick McKinney,9476,LB,MISS STATE,13,0,0,227,60.4,2,7,62,17.2,4.8,3,1,13.7,4,383,66,13,0,55.2,0,2,23,18.4,8.7,2,8.7,1,136,25,3
Hau'oli Kikaha,9477,ED,WASHINGTON,14,1,1,340,91.1,7,31,335,61.1,15.5,52,3,11.6,20,578,353,58,0,90.8,3,15,129,95.1,20.2,26,17.1,13,142,135,31
Eric Kendricks,9478,LB,UCLA,13,1,0,324,63.9,1,8,53,9.4,5.7,3,2,16.0,4,606,57,13,0,68.8,1,6,21,10.7,14.3,3,31.0,3,206,22,10
Eric Rowe,9480,CB,UTAH,12,0,0,328,60.7,1,2,6,1.4,0.0,0,4,25.0,0,437,6,3,0,53.1,0,2,3,1.7,0.0,0,33.3,0,178,3,2
Denzel Perryman,9481,LB,MIAMI FL,13,0,0,220,56.3,2,3,44,13.9,6.8,3,1,12.5,3,361,50,8,0,51.1,0,2,28,20.5,7.1,2,7.1,1,151,31,3
Ronald Darby,9483,CB,FLORIDA ST,13,0,1,167,60.0,0,0,0,0.2,,0,2,,0,469,1,0,0,,0,0,0,0.0,,0,,0,169,0,0
Nate Orchard,9484,ED,UTAH,13,2,0,328,71.5,7,26,414,93.5,11.4,47,3,9.1,21,463,433,54,2,74.0,6,16,181,96.4,17.1,31,13.8,14,195,188,36
Jordan Phillips,9485,DI,OKLAHOMA,13,1,0,261,78.6,2,19,328,99.4,7.0,23,0,3.5,1,347,345,22,1,76.3,0,11,88,100.0,12.5,11,7.4,1,96,96,12
Senquez Golson,9489,CB,OLE MISS,13,0,0,226,88.7,1,2,8,2.3,37.5,3,3,31.3,1,347,8,4,0,64.7,0,1,3,3.2,33.3,1,16.7,0,93,3,1
Markus Golden,9491,ED,MISSOURI,13,1,0,229,81.6,9,41,402,99.1,11.9,48,3,9.0,11,422,418,61,0,74.0,5,22,142,97.4,16.9,24,12.3,4,155,151,31
Randy Gregory,9493,ED,NEBRASKA,11,4,1,238,79.1,11,36,317,97.6,13.9,44,2,9.3,6,335,327,53,2,79.0,7,23,150,98.7,18.7,28,12.7,4,159,157,34
Quinten Rollins,9495,CB,MIAMI OH,12,0,0,221,66.1,1,0,4,0.9,0.0,0,1,12.5,0,452,4,1,0,,0,0,0,0.0,,0,,0,172,0,0
Frank Clark,9496,ED,MICHIGAN,10,3,0,222,90.8,5,25,191,90.4,15.2,29,0,10.5,5,218,197,35,0,74.8,1,12,68,89.9,20.6,14,14.0,3,79,71,16
Jordan Richards,9497,S,STANFORD,13,0,0,300,49.2,0,1,9,2.0,0.0,0,2,5.6,0,499,10,1,0,54.2,0,1,2,1.7,0.0,0,25.0,0,172,3,1
D'Joun Smith,9498,CB,FAU,11,0,0,165,49.6,0,0,7,2.0,0.0,0,5,0.0,0,394,8,0,0,55.2,0,0,1,1.3,0.0,0,0.0,0,153,2,0
Owa Odighizuwa,9507,ED,UCLA,13,2,1,324,72.5,5,43,467,100.0,10.3,48,8,6.9,8,502,502,56,2,84.6,2,31,159,100.0,21.4,34,14.2,6,169,169,39
P.J. Williams,9511,CB,FLORIDA ST,13,2,0,167,72.3,0,2,17,3.5,11.8,2,3,11.8,1,486,17,3,1,77.4,0,2,7,4.0,28.6,2,28.6,1,175,7,3
Eli Harold,9512,ED,VIRGINIA,12,3,0,335,70.9,9,28,428,99.8,10.7,46,6,6.0,7,455,454,44,2,77.2,6,23,190,100.0,16.8,32,9.7,4,201,201,33
Lorenzo Mauldin IV,9515,ED,LOUISVILLE,12,4,0,210,85.1,12,35,365,93.6,15.3,56,1,8.6,8,404,378,55,0,87.6,7,25,152,93.5,23.7,36,13.8,5,170,159,37
Craig Mager,9516,CB,TEXAS ST,12,1,1,314,84.5,1,0,10,2.1,0.0,0,3,25.0,2,484,10,3,0,72.8,1,0,6,4.3,0.0,0,25.0,1,138,6,2
Jordan Hicks,9517,LB,TEXAS,13,1,0,311,71.8,2,10,70,16.3,10.0,7,2,14.3,4,448,73,16,0,82.8,2,7,29,19.5,24.1,7,25.9,3,164,32,12
Danielle Hunter,9521,ED,LSU,13,4,0,211,57.3,3,8,334,96.9,5.1,17,0,2.5,3,353,342,14,0,58.6,0,5,96,100.0,10.4,10,3.6,1,99,99,6
Carl Davis Jr.,9523,DI,IOWA,13,0,0,192,81.9,9,25,276,100.0,11.2,31,0,7.2,3,286,286,37,0,78.0,2,17,118,100.0,15.3,18,9.7,2,124,124,21
Henry Anderson,9526,DI,STANFORD,13,2,0,300,76.3,11,37,373,98.7,11.0,41,1,8.8,9,394,389,57,2,81.0,6,26,137,99.3,19.7,27,13.9,3,144,143,35
Xavier Cooper,9529,DI,WASH STATE,12,1,0,341,62.2,6,25,393,100.0,5.9,23,5,5.7,7,410,410,38,1,65.8,4,15,131,100.0,11.5,15,11.1,5,137,137,24
Geneo Grissom,9530,ED,OKLAHOMA,10,4,0,261,76.7,5,9,154,53.2,13.6,21,0,7.1,4,301,160,18,0,64.7,4,6,75,70.3,18.7,14,9.3,2,111,78,12
Steven Nelson,9531,CB,OREGON ST,12,0,0,265,48.5,0,1,6,1.2,0.0,0,8,8.3,0,510,6,1,0,58.3,0,0,1,0.6,0.0,0,0.0,0,174,1,0
Paul Dawson,9532,LB,TCU,13,0,1,305,74.9,10,11,97,23.1,7.2,7,2,18.0,7,438,101,28,0,75.7,2,4,23,22.1,13.0,3,21.7,2,113,25,8
Angelo Blackson,9533,DI,AUBURN,13,0,0,115,59.9,3,5,192,97.5,5.2,10,4,3.6,3,203,198,11,0,54.7,1,3,55,96.7,5.5,3,3.6,0,61,59,4
Trey Flowers,9534,ED,ARKANSAS,13,2,0,111,83.1,9,46,330,96.9,17.6,58,2,10.2,6,356,345,61,0,81.7,5,31,155,98.8,24.5,38,14.8,5,164,162,41
James Sample,9537,S,LOUISVILLE,13,0,0,210,65.9,2,3,16,3.4,12.5,2,1,15.6,0,471,16,5,0,65.3,1,2,10,5.0,10.0,1,15.0,0,199,10,3
Gabe Wright,9546,DI,AUBURN,13,0,0,115,61.1,3,12,246,99.6,6.1,15,3,3.9,2,261,260,17,0,64.4,1,8,92,99.0,10.9,10,7.1,2,100,99,11
Ibraheim Campbell,9548,S,NWESTERN,8,0,0,256,60.0,0,1,1,0.4,0.0,0,0,50.0,0,259,1,1,0,,0,0,0,0.0,,0,,0,76,0,0
Ramik Wilson,9551,LB,GEORGIA,13,0,0,173,61.1,3,5,51,15.6,11.8,6,0,9.8,1,327,51,9,0,55.6,1,3,27,21.6,11.1,3,11.1,1,125,27,5
Josh Shaw,9553,CB,USC,3,0,0,326,55.5,0,0,2,1.9,0.0,0,0,0.0,0,106,2,0,0,55.5,0,0,2,4.3,0.0,0,0.0,0,47,2,0
Doran Grant,9554,CB,OHIO STATE,15,0,0,260,49.1,0,1,6,1.1,0.0,0,2,8.3,0,553,6,1,0,58.2,0,0,1,0.6,0.0,0,0.0,0,181,1,0
Za'Darius Smith,9555,DI,KENTUCKY,12,2,2,202,72.5,9,26,334,99.1,10.8,36,5,7.0,6,352,349,41,0,75.4,6,14,133,99.3,16.5,22,10.5,4,144,143,24
