player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
JR Pace,10116,S,NWESTERN,14,0,0,256,57.5,0,0,2,0.5,0.0,0,0,0.0,0,588,3,0,0,0,0,0,0.0,,0,,0,155,0,0
D.K. Buford,12500,HB,OLE MISS,1,0,0,226,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Enoch Smith Jr.,12534,DI,OKLA STATE,13,1,0,262,59.9,1,9,280,100.0,3.6,10,3,1.8,0,298,298,10,1,0,5,77,100.0,3.9,3,3.2,0,84,84,5
Jeffrey Allison,12542,LB,FRESNO ST,14,0,0,169,60.7,5,8,65,16.2,0.0,0,2,13.1,2,420,68,15,0,2,3,26,22.0,0.0,0,13.5,1,127,28,6
Sione Takitaki,12666,LB,BYU,13,0,0,128,67.1,2,12,81,18.8,13.6,11,2,12.3,3,448,84,17,0,2,5,39,25.0,20.5,8,14.1,2,168,42,9
Robert Bullard,12729,CB,AIR FORCE,4,0,0,101,59.1,0,0,1,3.3,0.0,0,0,0.0,0,61,2,0,0,0,0,0,0.0,,0,,0,17,0,0
Malik Rivera,12743,S,GA TECH,13,0,0,176,67.5,0,1,3,0.7,0.0,0,3,16.7,0,401,3,1,0,0,1,1,0.9,0.0,0,50.0,0,114,1,1
Kamal Martin,12744,LB,MINNESOTA,12,0,0,225,58.5,2,5,50,15.1,10.0,5,1,7.0,0,344,52,7,0,2,5,28,20.3,14.3,4,12.5,0,138,28,7
Ken Webster,12955,CB,OLE MISS,10,0,0,226,63.7,1,0,3,1.7,0.0,0,2,16.7,0,174,3,1,0,0,0,0,0.0,,0,,0,65,0,0
Reggie Robinson II,13094,CB,TULSA,8,0,0,320,56.2,0,0,2,1.9,0.0,0,2,0.0,0,106,2,0,0,0,0,1,7.1,0.0,0,0.0,0,14,1,0
Ed Rolle,13172,CB,CHARLOTTE,12,0,0,136,55.0,1,2,14,4.7,0.0,0,0,17.9,1,297,14,4,0,1,2,12,13.8,0.0,0,12.5,0,87,12,3
Jabril Robinson,13396,ED,W VIRGINIA,12,2,0,343,55.1,1,14,268,99.3,3.7,10,0,2.8,0,280,278,15,0,0,0,31,100.0,0.0,0,0.0,0,33,33,0
Corey Bell Jr.,13596,CB,N CAROLINA,6,0,0,245,52.9,0,2,6,6.1,0.0,0,2,16.7,0,98,6,2,0,0,2,4,10.5,0.0,0,25.0,0,38,4,2
