player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,year
A.J. Epenesa,56369,ED,IOWA,13,3,0,192,90.5,10,26,229,98.0,20.1,46,3,12.2,10,249,244,46,2,,9,20,134,96.6,24.6,33,16.0,7,146,141,36,2019
A.J. Hoffler,170011,ED,CLEMSON,13,0,0,140,60.2,2,7,122,95.7,9.0,11,1,3.7,0,139,133,9,0,60.5,1,3,47,96.3,10.6,5,4.3,0,54,52,4,2024
A.J. Jefferson,50114,ED,MISS STATE,11,0,0,227,65.1,2,22,304,100.0,9.2,28,1,5.3,4,313,313,28,0,68.9,1,9,110,100.0,13.6,15,6.4,2,111,111,12,2016
AJ Riley,81279,ED,LA LAFAYET,10,0,0,207,55.9,1,2,98,79.7,6.1,6,0,2.6,1,128,102,4,0,,1,0,56,83.8,7.1,4,2.7,1,68,57,2,2019
AJ Vongphachanh,101172,LB,BYU,12,0,1,128,60.7,6,10,141,34.8,9.9,14,1,5.7,0,440,153,16,0,67.8,4,7,53,43.9,20.8,11,10.4,0,132,58,11,2023
Aakil Washington,123896,ED,S ALABAMA,13,0,0,288,73.2,8,17,152,57.7,17.1,26,2,9.5,2,267,154,27,0,74.7,6,12,65,75.0,24.6,16,15.4,1,88,66,19,2024
Aaron Beasley,98846,LB,TENNESSEE,13,0,0,307,60.0,2,13,85,19.3,8.2,7,0,11.2,2,461,89,17,0,56.5,2,5,42,28.1,4.8,2,8.3,0,160,45,7,2021
Aaron Brule,81318,LB,MICH STATE,12,0,0,223,69.4,1,8,75,25.0,10.7,8,0,14.0,6,308,77,15,0,62.5,1,5,44,35.1,9.1,4,15.9,4,131,46,10,2023
Aaron Casey,81245,LB,INDIANA,12,1,0,190,70.0,2,12,81,19.9,7.4,6,2,16.0,6,422,84,20,1,60.0,0,7,51,30.6,7.8,4,10.8,2,170,52,9,2023
Aaron Faumui,76885,ED,VIRGINIA,12,0,1,335,60.4,4,9,217,100.0,6.5,14,4,3.5,1,227,227,14,0,60.3,3,2,54,100.0,9.3,5,6.5,1,54,54,6,2021
Aaron Key,123454,ED,W KENTUCKY,13,0,0,346,55.5,1,11,99,64.5,4.0,4,0,7.1,1,155,100,13,0,58.8,1,9,44,80.0,9.1,4,13.6,1,55,44,11,2022
Aaron Lewis,129884,ED,RUTGERS,11,1,0,278,74.4,9,20,270,100.0,14.1,38,2,6.5,3,290,290,32,0,77.4,6,15,119,100.0,21.8,26,9.7,1,129,129,22,2024
Aaron Odom,56721,ED,MISS STATE,11,0,0,227,57.5,0,6,144,96.3,3.5,5,2,3.5,2,162,156,8,0,64.1,0,4,44,92.5,9.1,4,6.8,1,53,49,5,2020
Aaron Sterling,56832,ED,S CAROLINA,13,2,0,289,64.8,3,12,222,97.9,7.7,17,0,4.7,3,235,230,18,0,55.9,0,5,60,95.4,6.7,4,7.5,2,65,62,7,2021
Aaron Wallace,10856,ED,UCLA,13,0,0,324,72.8,4,15,192,73.1,12.5,24,1,9.1,8,283,207,27,0,72.5,1,8,88,86.8,15.9,14,10.8,5,106,92,14,2015
Abdul Carter,164160,ED,PENN STATE,16,1,1,266,92.4,10,43,336,85.0,22.6,76,7,11.8,13,412,350,66,0,93.0,7,27,148,88.6,35.1,52,18.2,10,175,155,44,2024
Abi Nwabuoku-Okonji,82336,ED,JAMES MAD,11,0,1,197,71.4,5,5,170,96.7,10.6,18,3,4.1,2,181,175,12,0,75.7,3,1,53,98.3,15.1,8,7.5,2,58,57,6,2022
Adam Anderson,81960,ED,GEORGIA,8,0,0,173,71.0,4,4,103,62.4,10.7,11,0,9.7,6,173,108,14,0,76.5,3,3,50,75.4,18.0,9,18.0,6,69,52,12,2021
Adam Plant,98461,ED,UNLV,11,0,1,325,66.6,5,17,336,91.5,8.9,30,3,5.7,8,388,355,30,0,69.6,1,7,105,92.7,12.4,13,7.6,4,124,115,12,2022
Adam Shuler,29321,ED,W VIRGINIA,13,0,0,343,50.5,0,12,296,99.7,3.4,10,0,2.4,1,310,309,13,0,56.4,0,6,56,100.0,8.9,5,5.4,0,61,61,6,2016
Adam Trick,158021,ED,MIAMI OH,14,1,0,221,63.1,3,19,293,97.8,7.2,21,0,5.1,4,315,308,26,1,67.9,3,14,135,96.6,11.9,16,8.5,3,148,143,20,2024
Ade Aruna,48606,ED,TULANE,12,1,0,319,64.7,6,24,321,96.9,6.2,20,0,6.2,5,356,345,35,1,63.2,2,11,99,99.1,11.1,11,8.6,2,107,106,15,2016
Adepoju Adebawore,173683,ED,OKLAHOMA,13,0,0,261,67.5,2,9,102,92.2,14.7,15,1,7.4,2,115,106,13,0,68.8,2,5,49,92.6,20.4,10,7.1,0,54,50,7,2023
Adetokunbo Ogundeji,44047,ED,NOTRE DAME,12,0,0,258,70.5,11,19,293,99.0,14.0,41,1,7.5,7,307,304,37,0,70.6,4,9,99,100.0,19.2,19,8.6,2,104,104,15,2020
Adetomiwa Adebawore,97934,ED,NWESTERN,12,0,0,256,80.3,3,22,293,95.9,11.6,34,3,6.3,6,318,305,31,0,77.4,2,10,108,97.4,17.6,19,10.2,5,116,113,17,2022
Adin Huntington,130493,ED,TULANE,13,1,0,319,90.5,6,21,173,88.5,20.2,35,2,10.1,4,209,185,31,0,91.2,4,13,61,90.4,32.8,20,17.2,2,73,66,19,2024
Adisa Isaac,101406,ED,PENN STATE,13,0,0,266,72.9,4,20,200,91.2,13.0,26,0,10.5,9,228,208,33,0,78.3,2,7,76,91.9,21.1,16,15.1,7,86,79,16,2023
Adonijah Green,174704,ED,LOUISVILLE,13,0,0,210,76.6,2,16,108,84.7,20.4,22,2,10.2,2,137,116,20,0,72.0,1,10,60,94.1,23.3,14,10.8,1,68,64,12,2024
Adrian Hope,64444,ED,COAST CAR,13,0,0,141,90.8,3,29,175,89.2,21.1,37,1,13.1,7,212,189,39,0,80.9,1,12,48,94.5,27.1,13,21.9,4,55,52,17,2022
Adrian Jackson,82553,ED,OREGON,11,0,0,264,53.5,3,3,84,65.7,6.0,5,2,3.6,0,143,94,6,0,55.4,2,2,49,81.2,8.2,4,4.1,0,69,56,4,2021
Adrian Woliver,97961,ED,TOLEDO,13,0,0,316,64.1,3,12,147,98.1,10.2,15,0,6.5,2,162,159,17,0,65.2,2,10,54,98.4,20.4,11,11.1,0,63,62,12,2023
Aeneas DiCosmo,100456,ED,VANDERBILT,12,0,1,333,63.5,2,6,186,84.6,6.5,12,1,3.8,3,228,193,11,0,66.2,1,2,54,73.7,13.0,7,6.5,2,76,56,5,2023
Ahmed Hassanein,145990,ED,BOISE ST,14,0,0,120,76.9,17,35,415,97.3,16.1,67,0,8.7,10,441,429,62,0,82.2,8,22,160,97.1,25.0,40,13.8,7,175,170,37,2024
Aidan Hubbard,145048,ED,NWESTERN,12,1,0,256,75.8,4,19,220,96.6,13.2,29,0,8.0,6,237,229,29,0,81.5,3,12,78,98.8,24.4,19,13.5,3,83,82,18,2024
Aidan Hutchinson,82330,ED,MICHIGAN,14,3,0,222,93.4,9,51,404,92.4,22.5,91,1,10.9,14,460,425,74,1,93.4,4,31,153,94.8,33.3,51,16.7,8,173,164,43,2021
Aikeem Coleman,44490,ED,IDAHO,12,1,0,185,67.1,9,21,406,100.0,8.9,36,5,5.2,6,421,421,36,0,68.3,3,10,121,100.0,15.7,19,9.5,5,126,126,18,2018
Akeem Lewis,20461,ED,S ALABAMA,10,0,2,288,57.6,2,8,178,76.0,5.1,9,4,4.5,3,250,190,13,0,59.2,2,2,61,95.7,8.2,5,6.6,2,70,67,6,2015
Akheem Mesidor,123427,ED,MIAMI FL,13,0,0,220,73.6,3,18,278,91.9,12.9,36,0,5.2,4,320,294,25,0,75.0,1,11,100,95.7,21.0,21,9.0,3,117,112,15,2024
Akial Byers,56730,ED,MISSOURI,13,0,0,229,65.2,5,6,171,96.8,7.0,12,1,3.2,0,187,181,11,0,,1,2,43,100.0,9.3,4,3.5,0,46,46,3,2019
Al-Quadin Muhammad,11951,ED,MIAMI FL,12,1,1,220,69.3,7,29,320,86.3,11.9,38,3,7.2,5,395,341,41,0,70.7,6,17,154,94.9,16.2,25,9.4,3,177,168,26,2015
Alani Fua,9798,ED,BYU,10,4,1,128,62.0,5,14,140,39.8,8.6,12,5,8.9,3,367,146,22,0,51.5,1,5,53,61.6,5.7,3,5.7,0,86,53,6,2014
Alani Latu,50134,ED,ARIZONA ST,11,2,0,110,55.6,1,16,288,87.5,4.9,14,0,6.1,9,344,301,26,0,57.5,0,7,79,96.5,8.9,7,9.5,4,86,83,11,2018
Alec Bryant,123343,ED,ILLINOIS,13,1,0,187,67.6,0,11,159,76.7,11.9,19,1,4.7,2,215,165,13,1,67.8,0,5,80,87.5,13.8,11,5.6,2,96,84,7,2024
Alec Marenco,146136,LB,NEW MEXICO,12,1,2,241,59.2,5,9,136,52.1,8.8,12,5,5.1,0,282,147,14,0,60.8,2,8,55,63.8,14.5,8,9.1,0,94,60,10,2023
Alex Aukerman,50212,ED,ARMY,13,0,0,114,67.2,8,7,198,60.5,7.1,14,2,6.8,6,332,201,21,0,64.0,2,3,55,57.7,12.7,7,10.0,3,97,56,8,2018
Alex Davis,48417,ED,NEBRASKA,12,0,1,238,57.1,1,6,120,73.2,5.8,7,1,4.6,2,179,131,9,0,63.9,1,6,49,94.6,12.2,6,9.2,1,56,53,8,2018
Alex Funches,57765,ED,CAL,13,1,0,130,59.2,5,15,274,67.8,6.9,19,1,5.5,5,426,289,25,0,,4,11,114,75.0,11.4,13,10.1,4,164,123,19,2019
Alex Highsmith,43507,ED,CHARLOTTE,12,1,0,136,75.6,5,34,302,96.0,14.2,43,1,7.8,4,328,315,43,0,,2,12,68,91.1,25.0,17,11.8,1,79,72,15,2019
